Accession,mash.dist.to.wuhan1.k.9,mash.dist.to.wuhan1.k.10,mash.dist.to.wuhan1.k.11,mash.dist.to.wuhan1.k.12,mash.dist.to.wuhan1.k.13,mash.dist.to.wuhan1.k.14,mash.dist.to.wuhan1.k.15,mash.dist.to.wuhan1.k.16,mash.dist.to.wuhan1.k.17,mash.dist.to.wuhan1.k.18,mash.dist.to.wuhan1.k.19,mash.dist.to.wuhan1.k.20,mash.dist.to.wuhan1.k.21,prop_hits,Species,Genus,Genus_clean,Length,Authors,Publications,Geo_Location,Host,Isolation_Source,Collection_Date,GenBank_Title,Species_clean,Host_taxID,log_mash_distance,"get(str_glue(""mash.dist.to.wuhan1.k.{k}""))",studres
AY568539,0.0947315,0.140024,0.165887,0.169704,0.165554,0.162479,0.159088,0.156529,0.159434,0.149648,0.146335,0.149297,0.143276,0.700564971751413,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Betacoronavirus,29730,"Song,H.D., Tu,C.C., Zhang,G.W., Wang,S.Y., Zheng,K., Lei,L.C., Chen,Q.X., Gao,Y.W., Zhou,H.Q., Xiang,H., Zheng,H.J., Chern,S.W., Cheng,F., Pan,C.M., Xuan,H., Chen,S.J., Luo,H.M., Zhou,D.H., Liu,Y.F., He,J.F., Qin,P.Z., Li,L.H., Ren,Y.Q., Liang,W.J., Yu,Y.D., Anderson,L., Wang,M., Xu,R.H., Wu,X.W., Zheng,H.Y., Chen,J.D., Liang,G., Gao,Y., Liao,M., Fang,L., Jiang,L.Y., Li,H., Chen,F., Di,B., He,L.J., Lin,J.Y., Tong,S., Kong,X., Du,L., Hao,P., Tang,H., Bernini,A., Yu,X.J., Spiga,O., Guo,Z.M., Pan,H.Y., He,W.Z., Manuguerra,J.C., Fontanet,A., Danchin,A., Niccolai,N., Li,Y.X., Wu,C.I., Zhao,G.P.",15695582,"China: December 22, 2003",Homo sapiens,oronasopharynx,"","SARS coronavirus GZ0401, complete genome",SARS,9606,-1.79845785339615,0.165554,0.693025034206488
AY572034,0.0953148,0.140965,0.167427,0.170602,0.166738,0.165159,0.163323,0.158243,0.162493,0.153301,0.149972,0.151021,0.147505,0.740112994350282,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Betacoronavirus,29540,"Wang,M., Yan,M., Xu,H., Liang,W., Kan,B., Zheng,B., Chen,H., Zheng,H., Xu,Y., Zhang,E., Wang,H., Ye,J., Li,G., Li,M., Cui,Z., Liu,Y.F., Guo,R.T., Liu,X.N., Zhan,L.H., Zhou,D.H., Zhao,A., Hai,R., Yu,D., Guan,Y., Xu,J.",16485471,China: Southern China,Paguma larvata,feces,"","SARS coronavirus civet007, complete genome",SARS,9675,-1.79133156079393,0.166738,1.23107993019232
AY572035,0.0950874,0.140902,0.167524,0.170152,0.166858,0.16477,0.16304,0.158243,0.162493,0.153301,0.14946,0.15161,0.14791,0.728813559322034,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Betacoronavirus,29518,"Wang,M., Yan,M., Xu,H., Liang,W., Kan,B., Zheng,B., Chen,H., Zheng,H., Xu,Y., Zhang,E., Wang,H., Ye,J., Li,G., Li,M., Cui,Z., Liu,Y.F., Guo,R.T., Liu,X.N., Zhan,L.H., Zhou,D.H., Zhao,A., Hai,R., Yu,D., Guan,Y., Xu,J.",16485471,China: Southern China,Paguma larvata,feces,"","SARS coronavirus civet010, complete genome",SARS,9675,-1.79061212767617,0.166858,1.09567881879014
AY572038,0.0943132,0.140087,0.165601,0.169816,0.164736,0.162981,0.159618,0.15667,0.159599,0.149955,0.146655,0.149297,0.144016,0.728813559322034,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Betacoronavirus,29683,"Wang,M., Yan,M., Xu,H., Liang,W., Kan,B., Zheng,B., Chen,H., Zheng,H., Xu,Y., Zhang,E., Wang,H., Ye,J., Li,G., Li,M., Cui,Z., Liu,Y.F., Guo,R.T., Liu,X.N., Zhan,L.H., Zhou,D.H., Zhao,A., Hai,R., Yu,D., Guan,Y., Xu,J.",16485471,China: Southern China,Paguma larvata,feces,"","SARS coronavirus civet020, complete genome",SARS,9675,-1.80341108644853,0.164736,1.00960241733015
AY585229,0.119248,0.207477,0.283546,0.357497,0.393769,0.419967,0.421391,0.420377,0.436405,0.43468,0.375332,0.391212,0.405585,0.192090395480226,Betacoronavirus 1,Betacoronavirus,Betacoronavirus,30744,"St-Jean,J.R., Jacomy,H., Desforges,M., Vabret,A., Freymuth,F., Talbot,P.J.",15280490,France: Paris,Homo sapiens,oronasopharynx,"","Human coronavirus OC43 serotype OC43-Paris, complete genome",Betacoronavirus 1,9606,-0.931990836038226,0.393769,0.221988675606258
AY597011,0.116268,0.197566,0.264547,0.337385,0.371716,0.419967,0.402232,0.388475,0.406368,0.396183,0.390467,0.356565,0.405585,0.186440677966102,Human coronavirus HKU1,Betacoronavirus,Betacoronavirus,29926,"Woo,P.C., Lau,S.K., Chu,C.M., Chan,K.H., Tsoi,H.W., Huang,Y., Wong,B.H., Poon,R.W., Cai,J.J., Luk,W.K., Poon,L.L., Wong,S.S., Guan,Y., Peiris,J.S., Yuen,K.Y., Woo,P.C.Y., Lau,S.K.P., Wong,B.H.L., Wong,S.S.Y., Peiris,J.S.M.",15613317,"",Homo sapiens,unknown,"","Human coronavirus HKU1 genotype A, complete genome",Human coronavirus HKU1,9606,-0.989625157138586,0.371716,-0.233427605280661
AY613947,0.094185,0.139651,0.165411,0.169592,0.164505,0.162354,0.15922,0.155691,0.158776,0.149038,0.145545,0.148365,0.14291,0.711864406779661,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Betacoronavirus,29730,"","","",Homo sapiens,"","",SARS coronavirus GZ0402,SARS,,-1.80481431410186,0.164505,0.790196846134372
AY613948,0.0942811,0.139527,0.165128,0.168596,0.1637,0.161734,0.159353,0.15583,0.15894,0.149495,0.145076,0.147997,0.14291,0.706214689265537,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Betacoronavirus,29730,"Song,H.D., Tu,C.C., Zhang,G.W., Wang,S.Y., Zheng,K., Lei,L.C., Chen,Q.X., Gao,Y.W., Zhou,H.Q., Xiang,H., Zheng,H.J., Chern,S.W., Cheng,F., Pan,C.M., Xuan,H., Chen,S.J., Luo,H.M., Zhou,D.H., Liu,Y.F., He,J.F., Qin,P.Z., Li,L.H., Ren,Y.Q., Liang,W.J., Yu,Y.D., Anderson,L., Wang,M., Xu,R.H., Wu,X.W., Zheng,H.Y., Chen,J.D., Liang,G., Gao,Y., Liao,M., Fang,L., Jiang,L.Y., Li,H., Chen,F., Di,B., He,L.J., Lin,J.Y., Tong,S., Kong,X., Du,L., Hao,P., Tang,H., Bernini,A., Yu,X.J., Spiga,O., Guo,Z.M., Pan,H.Y., He,W.Z., Manuguerra,J.C., Fontanet,A., Danchin,A., Niccolai,N., Li,Y.X., Wu,C.I., Zhao,G.P.",15695582,China,Paradoxurus hermaphroditus,unknown,"","SARS coronavirus PC4-13, complete genome",SARS,71117,-1.80971979460505,0.1637,0.687333160011742
AY613949,0.0943132,0.139713,0.165034,0.168816,0.163814,0.161857,0.15922,0.156109,0.15894,0.149495,0.145232,0.147997,0.14291,0.706214689265537,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Betacoronavirus,29730,"Song,H.D., Tu,C.C., Zhang,G.W., Wang,S.Y., Zheng,K., Lei,L.C., Chen,Q.X., Gao,Y.W., Zhou,H.Q., Xiang,H., Zheng,H.J., Chern,S.W., Cheng,F., Pan,C.M., Xuan,H., Chen,S.J., Luo,H.M., Zhou,D.H., Liu,Y.F., He,J.F., Qin,P.Z., Li,L.H., Ren,Y.Q., Liang,W.J., Yu,Y.D., Anderson,L., Wang,M., Xu,R.H., Wu,X.W., Zheng,H.Y., Chen,J.D., Liang,G., Gao,Y., Liao,M., Fang,L., Jiang,L.Y., Li,H., Chen,F., Di,B., He,L.J., Lin,J.Y., Tong,S., Kong,X., Du,L., Hao,P., Tang,H., Bernini,A., Yu,X.J., Spiga,O., Guo,Z.M., Pan,H.Y., He,W.Z., Manuguerra,J.C., Fontanet,A., Danchin,A., Niccolai,N., Li,Y.X., Wu,C.I., Zhao,G.P.",15695582,China,Paradoxurus hermaphroditus,unknown,"","SARS coronavirus PC4-136, complete genome",SARS,71117,-1.80902364113006,0.163814,0.692006455532011
AY686863,0.0954125,0.141028,0.168405,0.171741,0.1677,0.166078,0.164177,0.159267,0.163019,0.153631,0.150489,0.152407,0.148524,0.745762711864407,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Betacoronavirus,29499,"Kan,B., Wang,M., Jing,H., Xu,H., Jiang,X., Yan,M., Liang,W., Zheng,H., Wan,K., Liu,Q., Cui,B., Xu,Y., Zhang,E., Wang,H., Ye,J., Li,G., Li,M., Cui,Z., Qi,X., Chen,K., Du,L., Gao,K., Zhao,Y.T., Zou,X.Z., Feng,Y.J., Gao,Y.F., Hai,R., Yu,D., Guan,Y., Xu,J.",16140765,"",Paradoxurus hermaphroditus,unknown,"","SARS coronavirus A022, complete genome",SARS,71117,-1.78557861015297,0.1677,1.34002993598971
AY686864,0.095055,0.140839,0.167524,0.170602,0.166738,0.164899,0.163323,0.158243,0.162493,0.153301,0.149972,0.151021,0.147505,0.728813559322034,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Betacoronavirus,29525,"Xu,J., Kan,B., Yan,M., Xu,Y.","","",Paradoxurus hermaphroditus,unknown,"","SARS coronavirus B039, complete genome",SARS,71117,-1.79133156079393,0.166738,1.09083929255141
DQ001338,0.126592,0.220243,0.300419,0.379349,0.39906,0.430963,0.448402,0.431766,0.419488,0.43468,0.448279,0.370944,0.372583,0.124293785310734,Avian coronavirus,Gammacoronavirus,Gammacoronavirus,27613,"Fang,S.G., Shen,S., Tay,F.P., Liu,D.X., Fang,S., Liu,D.",16137658,"",Gallus gallus,embryo,"","Avian infectious bronchitis virus isolate IBV-EP3, complete genome",Avian coronavirus,9031,-0.918643497457752,0.39906,-0.524727728525113
DQ010921,0.125136,0.217539,0.289235,0.387565,0.432971,0.437171,0.47542,0.445706,0.501017,0.43468,0.411802,1,1,0.101694915254237,Alphacoronavirus 1,Alphacoronavirus,Alphacoronavirus,29147,"Dye,C., Siddell,S.G.",16033972,"",Felis catus,unknown,"","Feline coronavirus strain FIPV 79-1146, complete genome",Alphacoronavirus 1,9685,-0.837084527818389,0.432971,-0.257349810613455
DQ022305,0.0971267,0.145445,0.166845,0.175266,0.170925,0.168228,0.16304,0.15868,0.160772,0.152323,0.14946,0.149297,0.144203,0.757062146892655,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Betacoronavirus,29711,"","","",Rhinolophus sinicus,"","",Bat SARS coronavirus HKU3-1,SARS-like,,-1.76653041518228,0.170925,1.60920158429793
DQ071615,0.0955103,0.138787,0.167232,0.170715,0.162792,0.161857,0.159485,0.153381,0.154082,0.149495,0.144921,0.146733,0.14095,0.745762711864407,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Betacoronavirus,29736,"Li,W., Shi,Z., Yu,M., Ren,W., Smith,C., Epstein,J.H., Wang,H., Crameri,G., Hu,Z., Zhang,H., Zhang,J., McEachern,J., Field,H., Daszak,P., Eaton,B.T., Zhang,S., Wang,L.F., Wang,L.-F.",16195424,China,Chiroptera,unknown,"","Bat SARS coronavirus Rp3, complete genome",Bat SARS-like,,-1.81528196667025,0.162792,1.13999279591801
DQ084199,0.0966943,0.145046,0.16646,0.174548,0.169792,0.167548,0.162619,0.158243,0.159269,0.151522,0.148786,0.148181,0.14346,0.757062146892655,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Betacoronavirus,29728,"","","",Rhinolophus sinicus,"","",Bat SARS coronavirus HKU3-2,SARS-like,,-1.77318112046686,0.169792,1.56427774010971
DQ201447,0.123942,0.21032,0.286344,0.356306,0.421136,0.437171,0.47542,0.410749,0.436405,1,1,1,1,0.101694915254237,Alphacoronavirus 1,Alphacoronavirus,Alphacoronavirus,28548,"Cheng,J., Liu,J.-X., Wu,R., Li,J.-Q.","","",Sus scrofa,unknown,"","Transmissible gastroenteritis virus strain TS, complete genome",Alphacoronavirus 1,9823,-0.864799457086017,0.421136,-0.442949699231793
DQ412042,0.0965287,0.144384,0.172653,0.17759,0.169418,0.173936,0.169571,0.165822,0.164088,0.157406,0.154268,0.151217,0.1413,0.734463276836158,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Betacoronavirus,29709,"Li,W., Shi,Z., Yu,M., Ren,W., Smith,C., Epstein,J.H., Wang,H., Crameri,G., Hu,Z., Zhang,H., Zhang,J., McEachern,J., Field,H., Daszak,P., Eaton,B.T., Zhang,S., Wang,L.F., Ren,W.Z., Li,W.D., Zhou,P., Hao,P., Zhang,S.Y., Zhao,G.P., Zhong,Y., Wang,S.Y., Wang,L.-F., Shi,Z.L.",16195424,"",Rhinolophus ferrumequinum,unknown,"","Bat SARS coronavirus Rf1, complete genome",Bat SARS-like,59479,-1.77538624503011,0.169418,1.26829184000661
DQ412043,0.0969934,0.140902,0.168405,0.170715,0.165436,0.165814,0.164034,0.15781,0.161798,0.150576,0.151895,0.154881,0.146509,0.745762711864407,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Betacoronavirus,29749,"Li,W., Shi,Z., Yu,M., Ren,W., Smith,C., Epstein,J.H., Wang,H., Crameri,G., Hu,Z., Zhang,H., Zhang,J., McEachern,J., Field,H., Daszak,P., Eaton,B.T., Zhang,S., Wang,L.F., Ren,W.Z., Li,W.D., Zhou,P., Hao,P., Zhang,S.Y., Zhao,G.P., Zhong,Y., Wang,S.Y., Wang,L.-F., Shi,Z.L.",16195424,"",Rhinolophus macrotis,unknown,"","Bat SARS coronavirus Rm1, complete genome",Bat SARS-like,196889,-1.79917086590407,0.165436,1.24845754773808
DQ415896,0.116096,0.197566,0.264232,0.336451,0.369824,0.398189,0.402232,0.388475,0.395649,0.396183,0.390467,0.356565,0.405585,0.180790960451977,Human coronavirus HKU1,Betacoronavirus,Betacoronavirus,29860,"Woo,P.C., Lau,S.K., Yip,C.C., Huang,Y., Tsoi,H.W., Chan,K.H., Yuen,K.Y., Woo,P.C.Y., Lau,S.K.P., Yip,C.C.Y.",16809319,China: Hong Kong,Homo sapiens,oronasopharynx,"","Human coronavirus HKU1 strain N19 genotype A, complete genome",Human coronavirus HKU1,9606,-0.994728062189106,0.369824,-0.337251019644567
DQ415897,0.117351,0.195346,0.266463,0.337385,0.364415,0.410443,0.391969,0.388475,0.395649,0.396183,0.375332,0.345413,0.405585,0.180790960451977,Human coronavirus HKU1,Betacoronavirus,Betacoronavirus,29845,"Woo,P.C., Lau,S.K., Yip,C.C., Huang,Y., Tsoi,H.W., Chan,K.H., Yuen,K.Y., Woo,P.C.Y., Lau,S.K.P., Yip,C.C.Y.",16809319,China: Hong Kong,Homo sapiens,oronasopharynx,"","Human coronavirus HKU1 strain N20 genotype C, complete genome",Human coronavirus HKU1,9606,-1.009461950887,0.364415,-0.435897343839012
DQ415898,0.117613,0.19559,0.266787,0.338329,0.362694,0.410443,0.391969,0.388475,0.395649,0.396183,0.375332,0.345413,0.405585,0.180790960451977,Human coronavirus HKU1,Betacoronavirus,Betacoronavirus,29815,"Woo,P.C., Lau,S.K., Yip,C.C., Huang,Y., Tsoi,H.W., Chan,K.H., Yuen,K.Y., Woo,P.C.Y., Lau,S.K.P., Yip,C.C.Y.",16809319,China: Hong Kong,Homo sapiens,oronasopharynx,"","Human coronavirus HKU1 strain N21 genotype C, complete genome",Human coronavirus HKU1,9606,-1.0141957754273,0.362694,-0.467596501331513
DQ415900,0.116225,0.197317,0.263605,0.336451,0.367978,0.40612,0.402232,0.388475,0.395649,0.396183,0.390467,0.356565,0.405585,0.180790960451977,Human coronavirus HKU1,Betacoronavirus,Betacoronavirus,29812,"Woo,P.C., Lau,S.K., Yip,C.C., Huang,Y., Tsoi,H.W., Chan,K.H., Yuen,K.Y., Woo,P.C.Y., Lau,S.K.P., Yip,C.C.Y.",16809319,China: Hong Kong,Homo sapiens,oronasopharynx,"","Human coronavirus HKU1 strain N23 genotype A, complete genome",Human coronavirus HKU1,9606,-0.999732125208953,0.367978,-0.370751720777065
DQ415902,0.117744,0.193182,0.262057,0.333714,0.37979,0.40612,0.421391,0.420377,0.436405,0.43468,0.390467,0.370944,0.405585,0.192090395480226,Human coronavirus HKU1,Betacoronavirus,Betacoronavirus,29845,"Woo,P.C., Lau,S.K., Yip,C.C., Huang,Y., Tsoi,H.W., Chan,K.H., Yuen,K.Y., Woo,P.C.Y., Lau,S.K.P., Yip,C.C.Y.",16809319,China: Hong Kong,Homo sapiens,oronasopharynx,"","Human coronavirus HKU1 strain N25 genotype B, complete genome",Human coronavirus HKU1,9606,-0.968136810597765,0.37979,-0.0199587038253068
DQ443743,0.122532,0.209457,0.286344,0.3677,0.417565,0.425253,0.448402,0.395054,0.436405,1,1,1,1,0.124293785310734,Alphacoronavirus 1,Alphacoronavirus,Alphacoronavirus,28590,"Song,Z.H., Guo,W.Z., Yin,H.P., Zeng,Z.Y., Ou,Y., Han,G.Q., Sun,Z.Y.","",China,Sus scrofa,cell,"","Transmissible gastroenteritis virus strain SC-Y, complete genome",Alphacoronavirus 1,9823,-0.873315058186688,0.417565,-0.221189868456634
DQ445911,0.118626,0.199845,0.276739,0.339284,0.388819,0.437171,0.448402,1,0.501017,1,1,1,1,0.124293785310734,Human coronavirus NL63,Alphacoronavirus,Alphacoronavirus,27550,"Pyrc,K., Dijkman,R., Deng,L., Jebbink,M.F., Ross,H.A., Berkhout,B., van der Hoek,L.",17054987,Netherlands,Homo sapiens,oronasopharynx,"","Human coronavirus NL63 isolate Amsterdam 057, complete genome",Human coronavirus NL63,9606,-0.944641339277113,0.388819,-0.698934063788115
DQ445912,0.119115,0.201267,0.279323,0.34322,0.396369,0.443972,0.448402,1,0.501017,1,1,1,1,0.107344632768362,Human coronavirus NL63,Alphacoronavirus,Alphacoronavirus,27535,"Pyrc,K., Dijkman,R., Deng,L., Jebbink,M.F., Ross,H.A., Berkhout,B., van der Hoek,L.",17054987,Netherlands,Homo sapiens,oronasopharynx,"","Human coronavirus NL63 isolate Amsterdam 496, complete genome",Human coronavirus NL63,9606,-0.925409683418894,0.396369,-0.779366136086881
DQ497008,0.0930411,0.138237,0.163911,0.166858,0.161784,0.159786,0.158825,0.154592,0.156067,0.148887,0.144306,0.146378,0.141476,0.734463276836158,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Betacoronavirus,29727,"Roberts,A., Deming,D., Paddock,C.D., Cheng,A., Yount,B., Vogel,L., Herman,B.D., Sheahan,T., Heise,M., Genrich,G.L., Zaki,S.R., Baric,R., Subbarao,K., Paddock,C., Herman,B., Genrich,G., Zaki,S., Ghedin,E., Sengamalay,N., Zaborsky,J.",17222058,"",Mus musculus,unknown,"","SARS coronavirus strain MA-15, complete genome",SARS,10090,-1.82149316676289,0.161784,0.958073083187023
DQ648856,0.0974945,0.145179,0.172758,0.177342,0.170925,0.174085,0.171318,0.166654,0.166103,0.15885,0.154832,0.152811,0.143276,0.734463276836158,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Betacoronavirus,29704,"","","",Rhinolophus ferrumequinum,"","",Bat CoV 273/2005,SARS-like,,-1.76653041518228,0.170925,1.32795037287478
DQ648857,0.0958045,0.14065,0.166942,0.168596,0.164389,0.165029,0.163181,0.157523,0.161626,0.149801,0.14963,0.152608,0.146905,0.745762711864407,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Betacoronavirus,29741,"","","",Rhinolophus macrotis,"","",Bat CoV 279/2005,SARS-like,,-1.8055197085743,0.164389,1.20570572090161
DQ811784,0.119831,0.212365,0.281987,0.36244,0.38646,0.419967,0.429237,0.445706,0.46025,1,0.448279,0.391212,0.405585,0.203389830508475,Betacoronavirus 1,Betacoronavirus,Betacoronavirus,31007,"Spiro,D., Halpin,R., Wang,S., Stollar,S., Zhang,X., Hasoksuz,M., Janies,D., Hadya,N., Tang,Y., Ghedin,E., Saif,L., Hostetler,J., Fedorova,N., Overton,L., Stockwell,T., Sitz,J., Katzel,D., Li,K., Axelrod,N., Safford,T., Amedeo,P., Schobel,S., Shrivastava,S., Resnick,A., Thovarai,V., Kim,M., Vlasova,A.","","",Bos taurus,unknown,1983,"Bovine coronavirus DB2, complete genome",Betacoronavirus 1,9913,-0.950726909195283,0.38646,0.235882523218146
DQ811788,0.122114,0.208603,0.28394,0.363724,0.414154,0.437171,0.46055,0.410749,0.436405,1,1,1,1,0.112994350282486,Alphacoronavirus 1,Alphacoronavirus,Alphacoronavirus,28571,"Zhang,X., Hasoksuz,M., Spiro,D., Halpin,R., Wang,S., Stollar,S., Janies,D., Hadya,N., Tang,Y., Ghedin,E., Saif,L.",17023013,"",Sus scrofa,unknown,"","TGEV Purdue P115, complete genome",Alphacoronavirus 1,9823,-0.881517393648154,0.414154,-0.41549381818492
DQ848678,0.123989,0.217383,0.298531,0.392918,0.414154,0.425253,0.438132,0.489015,0.501017,0.43468,0.390467,1,1,0.141242937853107,Alphacoronavirus 1,Alphacoronavirus,Alphacoronavirus,29277,"Dye,C., Siddell,S.G.","","",Felis Catus,abdominal cavity,"","Feline coronavirus strain FCoV C1Je, complete genome",Alphacoronavirus 1,9685,-0.881517393648154,0.414154,-0.0670877444313636
DQ915164,0.119607,0.21032,0.282374,0.359932,0.393769,0.437171,0.448402,0.445706,0.436405,0.473183,0.411802,0.391212,0.372583,0.180790960451977,Betacoronavirus 1,Betacoronavirus,Betacoronavirus,31076,"Jin,L., Cebra,C.K., Baker,R.J., Mattson,D.E., Cohen,S.A., Alvarado,D.E., Rohrmann,G.F., Christopher,C.K., George,R.",17459444,USA,Vicugna pacos,unknown,"","Bovine coronavirus isolate Alpaca, complete genome",Betacoronavirus 1,30538,-0.931990836038226,0.393769,0.0826679430694822
EF065505,0.120373,0.204723,0.296226,0.351708,0.37979,0.387739,0.408026,0.410749,0.419488,1,0.448279,1,1,0.175141242937853,Tylonycteris bat coronavirus HKU4,Betacoronavirus,Betacoronavirus,30286,"Woo,P.C., Wang,M., Lau,S.K., Xu,H., Poon,R.W., Guo,R., Wong,B.H., Gao,K., Tsoi,H.W., Huang,Y., Li,K.S., Lam,C.S., Chan,K.H., Zheng,B.J., Yuen,K.Y., Woo,P.C.Y., Lau,S.K.P., Xu,H.F., Poon,R.W.S., Guo,R.T., Wong,B.H.L., Li,K.S.M.",17121802,China: Guangdong province,Tylonycteris pachypus,unknown,"","Bat coronavirus HKU4-1, complete genome",Tylonycteris bat coronavirus HKU4,258959,-0.968136810597765,0.37979,-0.228917687084222
