Accession,prop_hits,Species,Genus,Genus_clean,Length,Authors,Publications,Geo_Location,Host,Isolation_Source,Collection_Date,GenBank_Title,Species_clean,Host_taxID
KY417151,0.76271186440678,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Betacoronavirus,30307,"Hu,B., Zeng,L.P., Yang,X.L., Ge,X.Y., Zhang,W., Li,B., Xie,J.Z., Shen,X.R., Zhang,Y.Z., Wang,N., Luo,D.S., Zheng,X.S., Wang,M.N., Daszak,P., Wang,L.F., Cui,J., Shi,Z.L., Wang,L.",29190287,China,Rhinolophus sinicus,unknown,10/24/2014,"Bat SARS-like coronavirus isolate Rs7327, complete genome",SARS-like,89399
KY417146,0.757062146892655,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Betacoronavirus,29782,"Hu,B., Zeng,L.P., Yang,X.L., Ge,X.Y., Zhang,W., Li,B., Xie,J.Z., Shen,X.R., Zhang,Y.Z., Wang,N., Luo,D.S., Zheng,X.S., Wang,M.N., Daszak,P., Wang,L.F., Cui,J., Shi,Z.L., Wang,L.",29190287,China,Rhinolophus sinicus,unknown,4/17/2013,"Bat SARS-like coronavirus isolate Rs4231, complete genome",SARS-like,89399
KJ473814,0.757062146892655,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Betacoronavirus,29658,"Wu,Z., Yang,L., Ren,X., Zhang,J., Yang,F., Zhang,S., Jin,Q., He,G., Yang,J., Qian,Z., Dong,J., Sun,L., Zhu,Y., Du,J.","26433221, 26262818",China,Rhinolophus sinicus,unknown,2013,"BtRs-BetaCoV/HuB2013, complete genome",Severe acute respiratory syndrome-related coronavirus,89399
KF569996,0.757062146892655,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Betacoronavirus,29805,"He,B., Zhang,Y., Xu,L., Yang,W., Yang,F., Feng,Y., Xia,L., Zhou,J., Zhen,W., Guo,H., Zhang,H., Tu,C.",24719429,China,Rhinolophus affinis,unknown,2011,"Rhinolophus affinis coronavirus isolate LYRa11, complete genome",Severe acute respiratory syndrome-related coronavirus,59477
JX993988,0.757062146892655,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Betacoronavirus,29452,"Yang,L., Wu,Z., Ren,X., Yang,F., He,G., Zhang,J., Dong,J., Sun,L., Zhu,Y., Du,J., Zhang,S., Jin,Q., Yang,J., Qian,Z.","23739658, 26433221, 26262818",China,Chaerephon plicatus,unknown,2011,"Bat coronavirus Cp/Yunnan2011, complete genome",Bat SARS-like,478698
KY417150,0.751412429378531,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Betacoronavirus,30311,"Hu,B., Zeng,L.P., Yang,X.L., Ge,X.Y., Zhang,W., Li,B., Xie,J.Z., Shen,X.R., Zhang,Y.Z., Wang,N., Luo,D.S., Zheng,X.S., Wang,M.N., Daszak,P., Wang,L.F., Cui,J., Shi,Z.L., Wang,L.",29190287,China,Rhinolophus sinicus,unknown,7/21/2013,"Bat SARS-like coronavirus isolate Rs4874, complete genome",SARS-like,89399
KY417149,0.751412429378531,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Betacoronavirus,29743,"Hu,B., Zeng,L.P., Yang,X.L., Ge,X.Y., Zhang,W., Li,B., Xie,J.Z., Shen,X.R., Zhang,Y.Z., Wang,N., Luo,D.S., Zheng,X.S., Wang,M.N., Daszak,P., Wang,L.F., Cui,J., Shi,Z.L., Wang,L.",29190287,China,Rhinolophus sinicus,unknown,4/17/2013,"Bat SARS-like coronavirus isolate Rs4255, complete genome",SARS-like,89399
KT444582,0.751412429378531,SARS-like coronavirus WIV16,Betacoronavirus,Betacoronavirus,30290,"Yang,X.L., Hu,B., Wang,B., Wang,M.N., Zhang,Q., Zhang,W., Wu,L.J., Ge,X.Y., Zhang,Y.Z., Daszak,P., Wang,L.F., Shi,Z.L., Yang,X.-L., Li,W., Wang,M.-N., Wu,L.-J., Li,B., Ge,X.-Y., Zeng,L.-P., Zhang,Y.-Z., Shi,Z.-L.",26719272,China,Rhinolophus sinicus,feces,7/21/2013,"SARS-like coronavirus WIV16, complete genome",SARS-like coronavirus,89399
MK211376,0.745762711864407,Coronavirus BtRs-BetaCoV/YN2018B,Betacoronavirus,Betacoronavirus,30256,"Han,Y., Wu,Z.","",China,Rhinolophus affinis,unknown,2016-09,"Coronavirus BtRs-BetaCoV/YN2018B, complete genome",Coronavirus BtRs-BetaCoV/YN2018B,59477
KY417147,0.745762711864407,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Betacoronavirus,29741,"Hu,B., Zeng,L.P., Yang,X.L., Ge,X.Y., Zhang,W., Li,B., Xie,J.Z., Shen,X.R., Zhang,Y.Z., Wang,N., Luo,D.S., Zheng,X.S., Wang,M.N., Daszak,P., Wang,L.F., Cui,J., Shi,Z.L., Wang,L.",29190287,China,Rhinolophus sinicus,unknown,4/17/2013,"Bat SARS-like coronavirus isolate Rs4237, complete genome",SARS-like,89399
KY417143,0.745762711864407,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Betacoronavirus,29741,"Hu,B., Zeng,L.P., Yang,X.L., Ge,X.Y., Zhang,W., Li,B., Xie,J.Z., Shen,X.R., Zhang,Y.Z., Wang,N., Luo,D.S., Zheng,X.S., Wang,M.N., Daszak,P., Wang,L.F., Cui,J., Shi,Z.L., Wang,L.",29190287,China,Rhinolophus sinicus,unknown,9/18/2012,"Bat SARS-like coronavirus isolate Rs4081, complete genome",SARS-like,89399
KJ473816,0.745762711864407,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Betacoronavirus,29142,"Wu,Z., Yang,L., Ren,X., Zhang,J., Yang,F., Zhang,S., Jin,Q., He,G., Yang,J., Qian,Z., Dong,J., Sun,L., Zhu,Y., Du,J.","26433221, 26262818",China,Rhinolophus sinicus,unknown,2013,"BtRs-BetaCoV/YN2013, complete genome",SARS-like,89399
JX993987,0.745762711864407,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Betacoronavirus,29484,"Yang,L., Wu,Z., Ren,X., Yang,F., He,G., Zhang,J., Dong,J., Sun,L., Zhu,Y., Du,J., Zhang,S., Jin,Q., Yang,J., Qian,Z.","23739658, 26433221, 26262818",China,Rhinolophus pusillus,unknown,2011-09,"Bat coronavirus Rp/Shaanxi2011, complete genome",Bat SARS-like,159858
DQ412043,0.745762711864407,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Betacoronavirus,29749,"Li,W., Shi,Z., Yu,M., Ren,W., Smith,C., Epstein,J.H., Wang,H., Crameri,G., Hu,Z., Zhang,H., Zhang,J., McEachern,J., Field,H., Daszak,P., Eaton,B.T., Zhang,S., Wang,L.F., Ren,W.Z., Li,W.D., Zhou,P., Hao,P., Zhang,S.Y., Zhao,G.P., Zhong,Y., Wang,S.Y., Wang,L.-F., Shi,Z.L.",16195424,"",Rhinolophus macrotis,unknown,"","Bat SARS coronavirus Rm1, complete genome",Bat SARS-like,196889
DQ071615,0.745762711864407,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Betacoronavirus,29736,"Li,W., Shi,Z., Yu,M., Ren,W., Smith,C., Epstein,J.H., Wang,H., Crameri,G., Hu,Z., Zhang,H., Zhang,J., McEachern,J., Field,H., Daszak,P., Eaton,B.T., Zhang,S., Wang,L.F., Wang,L.-F.",16195424,China,Chiroptera,unknown,"","Bat SARS coronavirus Rp3, complete genome",Bat SARS-like,
AY686863,0.745762711864407,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Betacoronavirus,29499,"Kan,B., Wang,M., Jing,H., Xu,H., Jiang,X., Yan,M., Liang,W., Zheng,H., Wan,K., Liu,Q., Cui,B., Xu,Y., Zhang,E., Wang,H., Ye,J., Li,G., Li,M., Cui,Z., Qi,X., Chen,K., Du,L., Gao,K., Zhao,Y.T., Zou,X.Z., Feng,Y.J., Gao,Y.F., Hai,R., Yu,D., Guan,Y., Xu,J.",16140765,"",Paradoxurus hermaphroditus,unknown,"","SARS coronavirus A022, complete genome",SARS,71117
MK211378,0.740112994350282,Coronavirus BtRs-BetaCoV/YN2018D,Betacoronavirus,Betacoronavirus,30213,"Han,Y., Wu,Z.","",China,Rhinolophus affinis,unknown,2016-09,"Coronavirus BtRs-BetaCoV/YN2018D, complete genome",Bat Coronavirus BtRs-BetaCoV,59477
KY417142,0.740112994350282,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Betacoronavirus,29725,"Hu,B., Zeng,L.P., Yang,X.L., Ge,X.Y., Zhang,W., Li,B., Xie,J.Z., Shen,X.R., Zhang,Y.Z., Wang,N., Luo,D.S., Zheng,X.S., Wang,M.N., Daszak,P., Wang,L.F., Cui,J., Shi,Z.L., Wang,L.",29190287,China,Aselliscus stoliczkanus,unknown,5/12/2014,"Bat SARS-like coronavirus isolate As6526, complete genome",SARS-like,188568
KY417148,0.740112994350282,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Betacoronavirus,29743,"Hu,B., Zeng,L.P., Yang,X.L., Ge,X.Y., Zhang,W., Li,B., Xie,J.Z., Shen,X.R., Zhang,Y.Z., Wang,N., Luo,D.S., Zheng,X.S., Wang,M.N., Daszak,P., Wang,L.F., Cui,J., Shi,Z.L., Wang,L.",29190287,China,Rhinolophus sinicus,unknown,4/17/2013,"Bat SARS-like coronavirus isolate Rs4247, complete genome",SARS-like,89399
KY770860,0.740112994350282,Bat coronavirus,Unknown,Betacoronavirus,29651,"Lin,X.D., Wang,W., Hao,Z.Y., Wang,Z.X., Guo,W.P., Guan,X.Q., Wang,M.R., Wang,H.W., Zhou,R.H., Li,M.H., Tang,G.P., Wu,J., Holmes,E.C., Zhang,Y.Z., Lin,X.-D., Hao,Z.-Y.H., Zhang,Y.-Z.",28384506,China,Rhinolophus ferrumequinum,unknown,2012,"Bat coronavirus isolate Jiyuan-84, complete genome",Bat coronavirus,59479
KP886809,0.740112994350282,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Betacoronavirus,29723,"Lau,S.K.P., Feng,Y., Chen,H., Luk,H.K.H., Yang,W.-H., Li,K.S.M., Zhang,Y.-Z., Huang,Y., Song,Z.-Z., Chow,W.-N., Fan,R.Y.Y., Ahmed,S., Yeung,H.C., Lam,C.S.F., Cai,J.-P., Chan,J.F.W., Yuen,K.-Y., Zhang,H.-L., Woo,P.C.Y.","",China,Rhinolophus ferrumequinum,unknown,5/23/2013,"Bat SARS-like coronavirus YNLF_34C, complete genome",Bat SARS-like,59479
FJ588686,0.740112994350282,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Betacoronavirus,29059,"Yuan,J., Hon,C.C., Li,Y., Wang,D., Xu,G., Zhang,H., Zhou,P., Poon,L.L., Lam,T.T., Leung,F.C., Shi,Z.",20016037,China,Rhinolophus sinicus,unknown,2006,"Bat SARS CoV Rs672/2006, complete genome",Bat SARS-like,89399
AY572034,0.740112994350282,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Betacoronavirus,29540,"Wang,M., Yan,M., Xu,H., Liang,W., Kan,B., Zheng,B., Chen,H., Zheng,H., Xu,Y., Zhang,E., Wang,H., Ye,J., Li,G., Li,M., Cui,Z., Liu,Y.F., Guo,R.T., Liu,X.N., Zhan,L.H., Zhou,D.H., Zhao,A., Hai,R., Yu,D., Guan,Y., Xu,J.",16485471,China: Southern China,Paguma larvata,feces,"","SARS coronavirus civet007, complete genome",SARS,9675
MK211375,0.734463276836158,Coronavirus BtRs-BetaCoV/YN2018A,Betacoronavirus,Betacoronavirus,29698,"Han,Y., Wu,Z.","",China,Rhinolophus affinis,unknown,2016-09,"Coronavirus BtRs-BetaCoV/YN2018A, complete genome",Bat Coronavirus BtRs-BetaCoV,59477
MK062181,0.734463276836158,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Betacoronavirus,29727,"Graham,R.L., Deming,D.J., Deming,M.E., Yount,B.L., Baric,R.S.",30393776,USA,Homo sapiens,unknown,5/29/2017,"SARS coronavirus Urbani isolate icSARS-C3, complete genome",SARS,9606
MK062184,0.734463276836158,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Betacoronavirus,29874,"Graham,R.L., Deming,D.J., Deming,M.E., Yount,B.L., Baric,R.S.",30393776,USA,Homo sapiens,unknown,6/1/2017,"SARS coronavirus Urbani isolate icSARS-C7-MA, complete genome",SARS,9606
MK062179,0.734463276836158,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Betacoronavirus,29727,"Graham,R.L., Deming,D.J., Deming,M.E., Yount,B.L., Baric,R.S.",30393776,USA,Homo sapiens,unknown,5/27/2017,"SARS coronavirus Urbani isolate icSARS, complete genome",SARS,9606
MK062180,0.734463276836158,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Betacoronavirus,29727,"Graham,R.L., Deming,D.J., Deming,M.E., Yount,B.L., Baric,R.S.",30393776,USA,Homo sapiens,unknown,5/28/2017,"SARS coronavirus Urbani isolate icSARS-MA, complete genome",SARS,9606
MK062183,0.734463276836158,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Betacoronavirus,29874,"Graham,R.L., Deming,D.J., Deming,M.E., Yount,B.L., Baric,R.S.",30393776,USA,Homo sapiens,unknown,5/31/2017,"SARS coronavirus Urbani isolate icSARS-C7, complete genome",SARS,9606
MK062182,0.734463276836158,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Betacoronavirus,29727,"Graham,R.L., Deming,D.J., Deming,M.E., Yount,B.L., Baric,R.S.",30393776,USA,Homo sapiens,unknown,5/30/2017,"SARS coronavirus Urbani isolate icSARS-C3-MA, complete genome",SARS,9606
KY417145,0.734463276836158,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Betacoronavirus,29710,"Hu,B., Zeng,L.P., Yang,X.L., Ge,X.Y., Zhang,W., Li,B., Xie,J.Z., Shen,X.R., Zhang,Y.Z., Wang,N., Luo,D.S., Zheng,X.S., Wang,M.N., Daszak,P., Wang,L.F., Cui,J., Shi,Z.L., Wang,L.",29190287,China,Rhinolophus ferrumequinum,unknown,9/18/2012,"Bat SARS-like coronavirus isolate Rf4092, complete genome",SARS-like,59479
KJ473812,0.734463276836158,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Betacoronavirus,29443,"Wu,Z., Yang,L., Ren,X., Zhang,J., Yang,F., Zhang,S., Jin,Q., He,G., Yang,J., Qian,Z., Dong,J., Sun,L., Zhu,Y., Du,J.","26433221, 26262818",China,Rhinolophus ferrumequinum,unknown,2013,"BtRf-BetaCoV/HeB2013, complete genome",SARS-like,59479
JF292909,0.734463276836158,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Betacoronavirus,29646,"Town,C., Halpin,R., Motley,J., Hostetler,J., Fedorova,N., Overton,L., Stockwell,T., Katzel,D., Li,K., Axelrod,N., Amedeo,P., Schobel,S., Shrivastava,S., Wang,S., Resnick,A., Thovarai,V., Kim,M., Eckerle,L.D., Becker,M.M., Donaldson,E.F., Lu,X., Graham,R.L., Baric,R.S., Denison,M.R.","","USA: Nashville, TN",Mus musculus,unknown,8/10/2008,"SARS coronavirus MA15 isolate d2ym4, complete genome",SARS,10090
JF292915,0.734463276836158,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Betacoronavirus,29646,"Town,C., Halpin,R., Motley,J., Hostetler,J., Fedorova,N., Overton,L., Stockwell,T., Katzel,D., Li,K., Axelrod,N., Amedeo,P., Schobel,S., Shrivastava,S., Wang,S., Resnick,A., Thovarai,V., Kim,M., Eckerle,L.D., Becker,M.M., Donaldson,E.F., Lu,X., Graham,R.L., Baric,R.S., Denison,M.R.","","USA: Nashville, TN",Mus musculus,unknown,10/10/2008,"SARS coronavirus MA15 isolate d4ym5, complete genome",SARS,10090
HQ890544,0.734463276836158,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Betacoronavirus,29646,"Town,C., Halpin,R., Motley,J., Hostetler,J., Fedorova,N., Overton,L., Stockwell,T., Katzel,D., Li,K., Axelrod,N., Amedeo,P., Schobel,S., Shrivastava,S., Wang,S., Resnick,A., Thovarai,V., Kim,M., Eckerle,L.D., Becker,M.M., Donaldson,E.F., Lu,X., Graham,R.L., Baric,R.S., Denison,M.R.","","USA: Nashville, TN",Mus musculus,unknown,9/17/2008,"SARS coronavirus MA15 isolate d2om3, complete genome",SARS,10090
GU553363,0.734463276836158,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Betacoronavirus,29644,"Spiro,D., Halpin,R., Wang,S., Hostetler,J., Hine,E., Overton,L., Tsitrin,T., Katzel,D., Sarmiento,M., Sitz,J., Amedeo,P., Caler,E., Lorenzi,H., Schobel,S., Sundaram,J., Poon,L., Harrod,K.","",China: Hong Kong,Homo sapiens,unknown,6/7/2003,"SARS coronavirus HKU-39849 isolate TCVSP-HARROD-00001, complete genome",SARS,9606
GU553365,0.734463276836158,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Betacoronavirus,29644,"Spiro,D., Halpin,R., Wang,S., Hostetler,J., Hine,E., Overton,L., Tsitrin,T., Katzel,D., Sarmiento,M., Sitz,J., Amedeo,P., Caler,E., Lorenzi,H., Schobel,S., Sundaram,J., Poon,L., Harrod,K.","",USA,Chlorocebus aethiops,lung,12/5/2007,"SARS coronavirus HKU-39849 isolate TCVSP-HARROD-00003, complete genome",SARS,9534
FJ882963,0.734463276836158,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Betacoronavirus,29682,"Spiro,D., Halpin,R., Wang,S., Hostetler,J., Hine,E., Overton,L., Tsitrin,T., Katzel,D., Sarmiento,M., Sitz,J., Amedeo,P., Caler,E., Lorenzi,H., Schobel,S., Sundaram,J., Kistner,O.","",USA,Homo sapiens,unknown,8/10/2004,"SARS coronavirus P2, complete genome",SARS,9606
DQ412042,0.734463276836158,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Betacoronavirus,29709,"Li,W., Shi,Z., Yu,M., Ren,W., Smith,C., Epstein,J.H., Wang,H., Crameri,G., Hu,Z., Zhang,H., Zhang,J., McEachern,J., Field,H., Daszak,P., Eaton,B.T., Zhang,S., Wang,L.F., Ren,W.Z., Li,W.D., Zhou,P., Hao,P., Zhang,S.Y., Zhao,G.P., Zhong,Y., Wang,S.Y., Wang,L.-F., Shi,Z.L.",16195424,"",Rhinolophus ferrumequinum,unknown,"","Bat SARS coronavirus Rf1, complete genome",Bat SARS-like,59479
DQ497008,0.734463276836158,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Betacoronavirus,29727,"Roberts,A., Deming,D., Paddock,C.D., Cheng,A., Yount,B., Vogel,L., Herman,B.D., Sheahan,T., Heise,M., Genrich,G.L., Zaki,S.R., Baric,R., Subbarao,K., Paddock,C., Herman,B., Genrich,G., Zaki,S., Ghedin,E., Sengamalay,N., Zaborsky,J.",17222058,"",Mus musculus,unknown,"","SARS coronavirus strain MA-15, complete genome",SARS,10090
AY714217,0.734463276836158,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Betacoronavirus,29727,"Liu,X., Frace,M., Rota,P.A., Matsuoka,Y., Comer,A., Ksiazek,T., Rollin,P., Cox,N., Bellini,W., Anderson,L., Suliamen,I.","",USA,Homo sapiens,oronasopharynx,"","SARS Coronavirus CDC#200301157, complete genome",SARS,9606
AY427439,0.734463276836158,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Betacoronavirus,29711,"Balotta,C., Corvasce,S., Violin,M., Galli,M., Moroni,M., Vigevani,G.M., Ruan,Y.J., Salemi,M.","","",Homo sapiens,oronasopharynx,"","SARS coronavirus AS, complete genome",SARS,9606
AY274119,0.734463276836158,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Betacoronavirus,29751,"He,R., Dobie,F., Ballantine,M., Leeson,A., Li,Y., Bastien,N., Cutts,T., Andonov,A., Cao,J., Booth,T.F., Plummer,F.A., Tyler,S., Baker,L., Li,X.",15020242,Canada: Toronto,Homo sapiens,unknown,"","Severe acute respiratory syndrome-related coronavirus isolate Tor2, complete genome",SARS,9606
KY417144,0.728813559322034,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Betacoronavirus,29770,"Hu,B., Zeng,L.P., Yang,X.L., Ge,X.Y., Zhang,W., Li,B., Xie,J.Z., Shen,X.R., Zhang,Y.Z., Wang,N., Luo,D.S., Zheng,X.S., Wang,M.N., Daszak,P., Wang,L.F., Cui,J., Shi,Z.L., Wang,L.",29190287,China,Rhinolophus sinicus,unknown,9/18/2012,"Bat SARS-like coronavirus isolate Rs4084, complete genome",SARS-like,89399
KU973692,0.728813559322034,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Betacoronavirus,29722,"Wang,L., Fu,S., Cao,Y., Zhang,H., Feng,Y., Yang,W., Nie,K., Ma,X., Liang,G.",28352124,China,Rhinolophus pusillus,unknown,2012,"UNVERIFIED: SARS-related coronavirus isolate F46, complete genome",SARS-like,159858
