Accession,mean,Species,Genus,Genus_clean,Length,Authors,Publications,Geo_Location,Host,Isolation_Source,Collection_Date,GenBank_Title,Species_clean,Host_taxID
AY568539,87.3901774193548,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Betacoronavirus,29730,"Song,H.D., Tu,C.C., Zhang,G.W., Wang,S.Y., Zheng,K., Lei,L.C., Chen,Q.X., Gao,Y.W., Zhou,H.Q., Xiang,H., Zheng,H.J., Chern,S.W., Cheng,F., Pan,C.M., Xuan,H., Chen,S.J., Luo,H.M., Zhou,D.H., Liu,Y.F., He,J.F., Qin,P.Z., Li,L.H., Ren,Y.Q., Liang,W.J., Yu,Y.D., Anderson,L., Wang,M., Xu,R.H., Wu,X.W., Zheng,H.Y., Chen,J.D., Liang,G., Gao,Y., Liao,M., Fang,L., Jiang,L.Y., Li,H., Chen,F., Di,B., He,L.J., Lin,J.Y., Tong,S., Kong,X., Du,L., Hao,P., Tang,H., Bernini,A., Yu,X.J., Spiga,O., Guo,Z.M., Pan,H.Y., He,W.Z., Manuguerra,J.C., Fontanet,A., Danchin,A., Niccolai,N., Li,Y.X., Wu,C.I., Zhao,G.P.",15695582,"China: December 22, 2003",Homo sapiens,oronasopharynx,"","SARS coronavirus GZ0401, complete genome",SARS,9606
AY572034,86.5669541984733,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Betacoronavirus,29540,"Wang,M., Yan,M., Xu,H., Liang,W., Kan,B., Zheng,B., Chen,H., Zheng,H., Xu,Y., Zhang,E., Wang,H., Ye,J., Li,G., Li,M., Cui,Z., Liu,Y.F., Guo,R.T., Liu,X.N., Zhan,L.H., Zhou,D.H., Zhao,A., Hai,R., Yu,D., Guan,Y., Xu,J.",16485471,China: Southern China,Paguma larvata,feces,"","SARS coronavirus civet007, complete genome",SARS,9675
AY572035,87.5860852713178,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Betacoronavirus,29518,"Wang,M., Yan,M., Xu,H., Liang,W., Kan,B., Zheng,B., Chen,H., Zheng,H., Xu,Y., Zhang,E., Wang,H., Ye,J., Li,G., Li,M., Cui,Z., Liu,Y.F., Guo,R.T., Liu,X.N., Zhan,L.H., Zhou,D.H., Zhao,A., Hai,R., Yu,D., Guan,Y., Xu,J.",16485471,China: Southern China,Paguma larvata,feces,"","SARS coronavirus civet010, complete genome",SARS,9675
AY572038,87.6377596899225,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Betacoronavirus,29683,"Wang,M., Yan,M., Xu,H., Liang,W., Kan,B., Zheng,B., Chen,H., Zheng,H., Xu,Y., Zhang,E., Wang,H., Ye,J., Li,G., Li,M., Cui,Z., Liu,Y.F., Guo,R.T., Liu,X.N., Zhan,L.H., Zhou,D.H., Zhao,A., Hai,R., Yu,D., Guan,Y., Xu,J.",16485471,China: Southern China,Paguma larvata,feces,"","SARS coronavirus civet020, complete genome",SARS,9675
AY585229,59.5861176470588,Betacoronavirus 1,Betacoronavirus,Betacoronavirus,30744,"St-Jean,J.R., Jacomy,H., Desforges,M., Vabret,A., Freymuth,F., Talbot,P.J.",15280490,France: Paris,Homo sapiens,oronasopharynx,"","Human coronavirus OC43 serotype OC43-Paris, complete genome",Betacoronavirus 1,9606
AY597011,58.9419696969697,Human coronavirus HKU1,Betacoronavirus,Betacoronavirus,29926,"Woo,P.C., Lau,S.K., Chu,C.M., Chan,K.H., Tsoi,H.W., Huang,Y., Wong,B.H., Poon,R.W., Cai,J.J., Luk,W.K., Poon,L.L., Wong,S.S., Guan,Y., Peiris,J.S., Yuen,K.Y., Woo,P.C.Y., Lau,S.K.P., Wong,B.H.L., Wong,S.S.Y., Peiris,J.S.M.",15613317,"",Homo sapiens,unknown,"","Human coronavirus HKU1 genotype A, complete genome",Human coronavirus HKU1,9606
AY613947,87.2971190476191,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Betacoronavirus,29730,"","","",Homo sapiens,"","",SARS coronavirus GZ0402,SARS,
AY613948,87.555488,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Betacoronavirus,29730,"Song,H.D., Tu,C.C., Zhang,G.W., Wang,S.Y., Zheng,K., Lei,L.C., Chen,Q.X., Gao,Y.W., Zhou,H.Q., Xiang,H., Zheng,H.J., Chern,S.W., Cheng,F., Pan,C.M., Xuan,H., Chen,S.J., Luo,H.M., Zhou,D.H., Liu,Y.F., He,J.F., Qin,P.Z., Li,L.H., Ren,Y.Q., Liang,W.J., Yu,Y.D., Anderson,L., Wang,M., Xu,R.H., Wu,X.W., Zheng,H.Y., Chen,J.D., Liang,G., Gao,Y., Liao,M., Fang,L., Jiang,L.Y., Li,H., Chen,F., Di,B., He,L.J., Lin,J.Y., Tong,S., Kong,X., Du,L., Hao,P., Tang,H., Bernini,A., Yu,X.J., Spiga,O., Guo,Z.M., Pan,H.Y., He,W.Z., Manuguerra,J.C., Fontanet,A., Danchin,A., Niccolai,N., Li,Y.X., Wu,C.I., Zhao,G.P.",15695582,China,Paradoxurus hermaphroditus,unknown,"","SARS coronavirus PC4-13, complete genome",SARS,71117
AY613949,87.768832,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Betacoronavirus,29730,"Song,H.D., Tu,C.C., Zhang,G.W., Wang,S.Y., Zheng,K., Lei,L.C., Chen,Q.X., Gao,Y.W., Zhou,H.Q., Xiang,H., Zheng,H.J., Chern,S.W., Cheng,F., Pan,C.M., Xuan,H., Chen,S.J., Luo,H.M., Zhou,D.H., Liu,Y.F., He,J.F., Qin,P.Z., Li,L.H., Ren,Y.Q., Liang,W.J., Yu,Y.D., Anderson,L., Wang,M., Xu,R.H., Wu,X.W., Zheng,H.Y., Chen,J.D., Liang,G., Gao,Y., Liao,M., Fang,L., Jiang,L.Y., Li,H., Chen,F., Di,B., He,L.J., Lin,J.Y., Tong,S., Kong,X., Du,L., Hao,P., Tang,H., Bernini,A., Yu,X.J., Spiga,O., Guo,Z.M., Pan,H.Y., He,W.Z., Manuguerra,J.C., Fontanet,A., Danchin,A., Niccolai,N., Li,Y.X., Wu,C.I., Zhao,G.P.",15695582,China,Paradoxurus hermaphroditus,unknown,"","SARS coronavirus PC4-136, complete genome",SARS,71117
AY613950,87.715496,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Betacoronavirus,29728,"Song,H.D., Tu,C.C., Zhang,G.W., Wang,S.Y., Zheng,K., Lei,L.C., Chen,Q.X., Gao,Y.W., Zhou,H.Q., Xiang,H., Zheng,H.J., Chern,S.W., Cheng,F., Pan,C.M., Xuan,H., Chen,S.J., Luo,H.M., Zhou,D.H., Liu,Y.F., He,J.F., Qin,P.Z., Li,L.H., Ren,Y.Q., Liang,W.J., Yu,Y.D., Anderson,L., Wang,M., Xu,R.H., Wu,X.W., Zheng,H.Y., Chen,J.D., Liang,G., Gao,Y., Liao,M., Fang,L., Jiang,L.Y., Li,H., Chen,F., Di,B., He,L.J., Lin,J.Y., Tong,S., Kong,X., Du,L., Hao,P., Tang,H., Bernini,A., Yu,X.J., Spiga,O., Guo,Z.M., Pan,H.Y., He,W.Z., Manuguerra,J.C., Fontanet,A., Danchin,A., Niccolai,N., Li,Y.X., Wu,C.I., Zhao,G.P.",15695582,China,Paradoxurus hermaphroditus,unknown,"","SARS coronavirus PC4-227, complete genome",SARS,71117
AY686863,86.4540757575758,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Betacoronavirus,29499,"Kan,B., Wang,M., Jing,H., Xu,H., Jiang,X., Yan,M., Liang,W., Zheng,H., Wan,K., Liu,Q., Cui,B., Xu,Y., Zhang,E., Wang,H., Ye,J., Li,G., Li,M., Cui,Z., Qi,X., Chen,K., Du,L., Gao,K., Zhao,Y.T., Zou,X.Z., Feng,Y.J., Gao,Y.F., Hai,R., Yu,D., Guan,Y., Xu,J.",16140765,"",Paradoxurus hermaphroditus,unknown,"","SARS coronavirus A022, complete genome",SARS,71117
AY686864,87.6377596899225,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Betacoronavirus,29525,"Xu,J., Kan,B., Yan,M., Xu,Y.","","",Paradoxurus hermaphroditus,unknown,"","SARS coronavirus B039, complete genome",SARS,71117
AY714217,87.1687615384616,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Betacoronavirus,29727,"Liu,X., Frace,M., Rota,P.A., Matsuoka,Y., Comer,A., Ksiazek,T., Rollin,P., Cox,N., Bellini,W., Anderson,L., Suliamen,I.","",USA,Homo sapiens,oronasopharynx,"","SARS Coronavirus CDC#200301157, complete genome",SARS,9606
DQ001338,50.3030454545455,Avian coronavirus,Gammacoronavirus,Gammacoronavirus,27613,"Fang,S.G., Shen,S., Tay,F.P., Liu,D.X., Fang,S., Liu,D.",16137658,"",Gallus gallus,embryo,"","Avian infectious bronchitis virus isolate IBV-EP3, complete genome",Avian coronavirus,9031
DQ010921,63.2716111111111,Alphacoronavirus 1,Alphacoronavirus,Alphacoronavirus,29147,"Dye,C., Siddell,S.G.",16033972,"",Felis catus,unknown,"","Feline coronavirus strain FIPV 79-1146, complete genome",Alphacoronavirus 1,9685
DQ022305,86.7889328358209,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Betacoronavirus,29711,"","","",Rhinolophus sinicus,"","",Bat SARS coronavirus HKU3-1,SARS-like,
DQ071615,87.6998560606061,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Betacoronavirus,29736,"Li,W., Shi,Z., Yu,M., Ren,W., Smith,C., Epstein,J.H., Wang,H., Crameri,G., Hu,Z., Zhang,H., Zhang,J., McEachern,J., Field,H., Daszak,P., Eaton,B.T., Zhang,S., Wang,L.F., Wang,L.-F.",16195424,China,Chiroptera,unknown,"","Bat SARS coronavirus Rp3, complete genome",Bat SARS-like,
DQ084199,86.7889328358209,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Betacoronavirus,29728,"","","",Rhinolophus sinicus,"","",Bat SARS coronavirus HKU3-2,SARS-like,
DQ084200,86.7889328358209,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Betacoronavirus,29687,"","","",Rhinolophus sinicus,"","",Bat SARS coronavirus HKU3-3,SARS-like,
DQ201447,63.4181666666667,Alphacoronavirus 1,Alphacoronavirus,Alphacoronavirus,28548,"Cheng,J., Liu,J.-X., Wu,R., Li,J.-Q.","","",Sus scrofa,unknown,"","Transmissible gastroenteritis virus strain TS, complete genome",Alphacoronavirus 1,9823
DQ412042,87.1378076923077,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Betacoronavirus,29709,"Li,W., Shi,Z., Yu,M., Ren,W., Smith,C., Epstein,J.H., Wang,H., Crameri,G., Hu,Z., Zhang,H., Zhang,J., McEachern,J., Field,H., Daszak,P., Eaton,B.T., Zhang,S., Wang,L.F., Ren,W.Z., Li,W.D., Zhou,P., Hao,P., Zhang,S.Y., Zhao,G.P., Zhong,Y., Wang,S.Y., Wang,L.-F., Shi,Z.L.",16195424,"",Rhinolophus ferrumequinum,unknown,"","Bat SARS coronavirus Rf1, complete genome",Bat SARS-like,59479
DQ412043,86.4679318181818,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Betacoronavirus,29749,"Li,W., Shi,Z., Yu,M., Ren,W., Smith,C., Epstein,J.H., Wang,H., Crameri,G., Hu,Z., Zhang,H., Zhang,J., McEachern,J., Field,H., Daszak,P., Eaton,B.T., Zhang,S., Wang,L.F., Ren,W.Z., Li,W.D., Zhou,P., Hao,P., Zhang,S.Y., Zhao,G.P., Zhong,Y., Wang,S.Y., Wang,L.-F., Shi,Z.L.",16195424,"",Rhinolophus macrotis,unknown,"","Bat SARS coronavirus Rm1, complete genome",Bat SARS-like,196889
DQ415896,59.53390625,Human coronavirus HKU1,Betacoronavirus,Betacoronavirus,29860,"Woo,P.C., Lau,S.K., Yip,C.C., Huang,Y., Tsoi,H.W., Chan,K.H., Yuen,K.Y., Woo,P.C.Y., Lau,S.K.P., Yip,C.C.Y.",16809319,China: Hong Kong,Homo sapiens,oronasopharynx,"","Human coronavirus HKU1 strain N19 genotype A, complete genome",Human coronavirus HKU1,9606
DQ415897,59.94515625,Human coronavirus HKU1,Betacoronavirus,Betacoronavirus,29845,"Woo,P.C., Lau,S.K., Yip,C.C., Huang,Y., Tsoi,H.W., Chan,K.H., Yuen,K.Y., Woo,P.C.Y., Lau,S.K.P., Yip,C.C.Y.",16809319,China: Hong Kong,Homo sapiens,oronasopharynx,"","Human coronavirus HKU1 strain N20 genotype C, complete genome",Human coronavirus HKU1,9606
DQ415898,59.7368125,Human coronavirus HKU1,Betacoronavirus,Betacoronavirus,29815,"Woo,P.C., Lau,S.K., Yip,C.C., Huang,Y., Tsoi,H.W., Chan,K.H., Yuen,K.Y., Woo,P.C.Y., Lau,S.K.P., Yip,C.C.Y.",16809319,China: Hong Kong,Homo sapiens,oronasopharynx,"","Human coronavirus HKU1 strain N21 genotype C, complete genome",Human coronavirus HKU1,9606
DQ415899,59.94515625,Human coronavirus HKU1,Betacoronavirus,Betacoronavirus,29905,"Woo,P.C., Lau,S.K., Yip,C.C., Huang,Y., Tsoi,H.W., Chan,K.H., Yuen,K.Y., Woo,P.C.Y., Lau,S.K.P., Yip,C.C.Y.",16809319,China: Hong Kong,Homo sapiens,oronasopharynx,"","Human coronavirus HKU1 strain N22 genotype C, complete genome",Human coronavirus HKU1,9606
DQ415900,59.53390625,Human coronavirus HKU1,Betacoronavirus,Betacoronavirus,29812,"Woo,P.C., Lau,S.K., Yip,C.C., Huang,Y., Tsoi,H.W., Chan,K.H., Yuen,K.Y., Woo,P.C.Y., Lau,S.K.P., Yip,C.C.Y.",16809319,China: Hong Kong,Homo sapiens,oronasopharynx,"","Human coronavirus HKU1 strain N23 genotype A, complete genome",Human coronavirus HKU1,9606
DQ415901,59.53390625,Human coronavirus HKU1,Betacoronavirus,Betacoronavirus,30097,"Woo,P.C., Lau,S.K., Yip,C.C., Huang,Y., Tsoi,H.W., Chan,K.H., Yuen,K.Y., Woo,P.C.Y., Lau,S.K.P., Yip,C.C.Y.",16809319,China: Hong Kong,Homo sapiens,oronasopharynx,"","Human coronavirus HKU1 strain N24 genotype A, complete genome",Human coronavirus HKU1,9606
DQ415902,58.3185,Human coronavirus HKU1,Betacoronavirus,Betacoronavirus,29845,"Woo,P.C., Lau,S.K., Yip,C.C., Huang,Y., Tsoi,H.W., Chan,K.H., Yuen,K.Y., Woo,P.C.Y., Lau,S.K.P., Yip,C.C.Y.",16809319,China: Hong Kong,Homo sapiens,oronasopharynx,"","Human coronavirus HKU1 strain N25 genotype B, complete genome",Human coronavirus HKU1,9606
DQ415903,59.53390625,Human coronavirus HKU1,Betacoronavirus,Betacoronavirus,29920,"Woo,P.C., Lau,S.K., Yip,C.C., Huang,Y., Tsoi,H.W., Chan,K.H., Yuen,K.Y., Woo,P.C.Y., Lau,S.K.P., Yip,C.C.Y.",16809319,China: Hong Kong,Homo sapiens,oronasopharynx,"","Human coronavirus HKU1 strain N3 genotype A, complete genome",Human coronavirus HKU1,9606
DQ415904,59.53390625,Human coronavirus HKU1,Betacoronavirus,Betacoronavirus,29295,"Woo,P.C., Lau,S.K., Yip,C.C., Huang,Y., Tsoi,H.W., Chan,K.H., Yuen,K.Y., Woo,P.C.Y., Lau,S.K.P., Yip,C.C.Y.",16809319,China: Hong Kong,Homo sapiens,oronasopharynx,"","Human coronavirus HKU1 strain N6 genotype A, complete genome",Human coronavirus HKU1,9606
DQ415905,59.53390625,Human coronavirus HKU1,Betacoronavirus,Betacoronavirus,29857,"Woo,P.C., Lau,S.K., Yip,C.C., Huang,Y., Tsoi,H.W., Chan,K.H., Yuen,K.Y., Woo,P.C.Y., Lau,S.K.P., Yip,C.C.Y.",16809319,China: Hong Kong,Homo sapiens,oronasopharynx,"","Human coronavirus HKU1 strain N7 genotype A, complete genome",Human coronavirus HKU1,9606
DQ415906,59.53390625,Human coronavirus HKU1,Betacoronavirus,Betacoronavirus,29857,"Woo,P.C., Lau,S.K., Yip,C.C., Huang,Y., Tsoi,H.W., Chan,K.H., Yuen,K.Y., Woo,P.C.Y., Lau,S.K.P., Yip,C.C.Y.",16809319,China: Hong Kong,Homo sapiens,oronasopharynx,"","Human coronavirus HKU1 strain N9 genotype A, complete genome",Human coronavirus HKU1,9606
DQ415907,59.53390625,Human coronavirus HKU1,Betacoronavirus,Betacoronavirus,29887,"Woo,P.C., Lau,S.K., Yip,C.C., Huang,Y., Tsoi,H.W., Chan,K.H., Yuen,K.Y., Woo,P.C.Y., Lau,S.K.P., Yip,C.C.Y.",16809319,China: Hong Kong,Homo sapiens,oronasopharynx,"","Human coronavirus HKU1 strain N10 genotype A, complete genome",Human coronavirus HKU1,9606
DQ415908,59.53390625,Human coronavirus HKU1,Betacoronavirus,Betacoronavirus,29947,"Woo,P.C., Lau,S.K., Yip,C.C., Huang,Y., Tsoi,H.W., Chan,K.H., Yuen,K.Y., Woo,P.C.Y., Lau,S.K.P., Yip,C.C.Y.",16809319,China: Hong Kong,Homo sapiens,oronasopharynx,"","Human coronavirus HKU1 strain N11 genotype A, complete genome",Human coronavirus HKU1,9606
DQ415909,59.53390625,Human coronavirus HKU1,Betacoronavirus,Betacoronavirus,29767,"Woo,P.C., Lau,S.K., Yip,C.C., Huang,Y., Tsoi,H.W., Chan,K.H., Yuen,K.Y., Woo,P.C.Y., Lau,S.K.P., Yip,C.C.Y.",16809319,China: Hong Kong,Homo sapiens,oronasopharynx,"","Human coronavirus HKU1 strain N13 genotype A, complete genome",Human coronavirus HKU1,9606
DQ415910,59.53390625,Human coronavirus HKU1,Betacoronavirus,Betacoronavirus,29797,"Woo,P.C., Lau,S.K., Yip,C.C., Huang,Y., Tsoi,H.W., Chan,K.H., Yuen,K.Y., Woo,P.C.Y., Lau,S.K.P., Yip,C.C.Y.",16809319,China: Hong Kong,Homo sapiens,oronasopharynx,"","Human coronavirus HKU1 strain N14 genotype A, complete genome",Human coronavirus HKU1,9606
DQ415911,58.9493636363636,Human coronavirus HKU1,Betacoronavirus,Betacoronavirus,29902,"Woo,P.C., Lau,S.K., Yip,C.C., Huang,Y., Tsoi,H.W., Chan,K.H., Yuen,K.Y., Woo,P.C.Y., Lau,S.K.P., Yip,C.C.Y.",16809319,China: Hong Kong,Homo sapiens,oronasopharynx,"","Human coronavirus HKU1 strain N15 genotype B, complete genome",Human coronavirus HKU1,9606
DQ415912,59.94515625,Human coronavirus HKU1,Betacoronavirus,Betacoronavirus,29845,"Woo,P.C., Lau,S.K., Yip,C.C., Huang,Y., Tsoi,H.W., Chan,K.H., Yuen,K.Y., Woo,P.C.Y., Lau,S.K.P., Yip,C.C.Y.",16809319,China: Hong Kong,Homo sapiens,oronasopharynx,"","Human coronavirus HKU1 strain N16 genotype C, complete genome",Human coronavirus HKU1,9606
DQ415913,59.4543939393939,Human coronavirus HKU1,Betacoronavirus,Betacoronavirus,29785,"Woo,P.C., Lau,S.K., Yip,C.C., Huang,Y., Tsoi,H.W., Chan,K.H., Yuen,K.Y., Woo,P.C.Y., Lau,S.K.P., Yip,C.C.Y.",16809319,China: Hong Kong,Homo sapiens,oronasopharynx,"","Human coronavirus HKU1 strain N17 genotype C, complete genome",Human coronavirus HKU1,9606
DQ415914,59.53390625,Human coronavirus HKU1,Betacoronavirus,Betacoronavirus,29887,"Woo,P.C., Lau,S.K., Yip,C.C., Huang,Y., Tsoi,H.W., Chan,K.H., Yuen,K.Y., Woo,P.C.Y., Lau,S.K.P., Yip,C.C.Y.",16809319,China: Hong Kong,Homo sapiens,oronasopharynx,"","Human coronavirus HKU1 strain N18 genotype A, complete genome",Human coronavirus HKU1,9606
DQ443743,58.6093181818182,Alphacoronavirus 1,Alphacoronavirus,Alphacoronavirus,28590,"Song,Z.H., Guo,W.Z., Yin,H.P., Zeng,Z.Y., Ou,Y., Han,G.Q., Sun,Z.Y.","",China,Sus scrofa,cell,"","Transmissible gastroenteritis virus strain SC-Y, complete genome",Alphacoronavirus 1,9823
DQ445911,55.4544545454546,Human coronavirus NL63,Alphacoronavirus,Alphacoronavirus,27550,"Pyrc,K., Dijkman,R., Deng,L., Jebbink,M.F., Ross,H.A., Berkhout,B., van der Hoek,L.",17054987,Netherlands,Homo sapiens,oronasopharynx,"","Human coronavirus NL63 isolate Amsterdam 057, complete genome",Human coronavirus NL63,9606
DQ445912,57.8946315789474,Human coronavirus NL63,Alphacoronavirus,Alphacoronavirus,27535,"Pyrc,K., Dijkman,R., Deng,L., Jebbink,M.F., Ross,H.A., Berkhout,B., van der Hoek,L.",17054987,Netherlands,Homo sapiens,oronasopharynx,"","Human coronavirus NL63 isolate Amsterdam 496, complete genome",Human coronavirus NL63,9606
DQ497008,87.2200384615385,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Betacoronavirus,29727,"Roberts,A., Deming,D., Paddock,C.D., Cheng,A., Yount,B., Vogel,L., Herman,B.D., Sheahan,T., Heise,M., Genrich,G.L., Zaki,S.R., Baric,R., Subbarao,K., Paddock,C., Herman,B., Genrich,G., Zaki,S., Ghedin,E., Sengamalay,N., Zaborsky,J.",17222058,"",Mus musculus,unknown,"","SARS coronavirus strain MA-15, complete genome",SARS,10090
DQ640652,88.2745609756098,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Betacoronavirus,29746,"Cai,J.-P., Hei,A.-L., Hu,J.-H., Wang,S.-K., Zhang,C.-B., Dai,D.-P., Shen,Z.-Y., Guo,J., Li,M., Wu,Y.-S., Cheng,G., He,Y.-S., Hou,M.","",China,Homo sapiens,lung,"","SARS coronavirus GDH-BJH01, complete genome",SARS,9606
DQ648856,87.1634384615385,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Betacoronavirus,29704,"","","",Rhinolophus ferrumequinum,"","",Bat CoV 273/2005,SARS-like,
DQ648857,86.4174318181818,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Betacoronavirus,29741,"","","",Rhinolophus macrotis,"","",Bat CoV 279/2005,SARS-like,
DQ811784,60.0779444444444,Betacoronavirus 1,Betacoronavirus,Betacoronavirus,31007,"Spiro,D., Halpin,R., Wang,S., Stollar,S., Zhang,X., Hasoksuz,M., Janies,D., Hadya,N., Tang,Y., Ghedin,E., Saif,L., Hostetler,J., Fedorova,N., Overton,L., Stockwell,T., Sitz,J., Katzel,D., Li,K., Axelrod,N., Safford,T., Amedeo,P., Schobel,S., Shrivastava,S., Resnick,A., Thovarai,V., Kim,M., Vlasova,A.","","",Bos taurus,unknown,1983,"Bovine coronavirus DB2, complete genome",Betacoronavirus 1,9913
DQ811785,60.4312631578948,Alphacoronavirus 1,Alphacoronavirus,Alphacoronavirus,28542,"Zhang,X., Hasoksuz,M., Spiro,D., Halpin,R., Wang,S., Stollar,S., Janies,D., Hadya,N., Tang,Y., Ghedin,E., Saif,L.",17023013,USA:Ohio,Sus scrofa,unknown,"","TGEV Miller M6, complete genome",Alphacoronavirus 1,9823
DQ811786,61.3425714285714,Alphacoronavirus 1,Alphacoronavirus,Alphacoronavirus,27904,"Zhang,X., Hasoksuz,M., Spiro,D., Halpin,R., Wang,S., Stollar,S., Janies,D., Hadya,N., Tang,Y., Ghedin,E., Saif,L., Hostetler,J., Fedorova,N., Overton,L., Stockwell,T., Sitz,J., Katzel,D., Li,K., Axelrod,N., Safford,T., Amedeo,P., Schobel,S., Shrivastava,S., Resnick,A., Thovarai,V., Kim,M., Vlasova,A.",17023013,USA:Ohio,Sus scrofa,unknown,1987,"TGEV Miller M60, complete genome",Alphacoronavirus 1,9823
DQ811787,66.0107777777778,Alphacoronavirus 1,Alphacoronavirus,Alphacoronavirus,27550,"Zhang,X., Hasoksuz,M., Spiro,D., Halpin,R., Wang,S., Stollar,S., Janies,D., Hadya,N., Tang,Y., Ghedin,E., Saif,L.",17023013,USA:Indiana,Sus scrofa,unknown,"","PRCV ISU-1, complete genome",Alphacoronavirus 1,9823
DQ811788,62.13695,Alphacoronavirus 1,Alphacoronavirus,Alphacoronavirus,28571,"Zhang,X., Hasoksuz,M., Spiro,D., Halpin,R., Wang,S., Stollar,S., Janies,D., Hadya,N., Tang,Y., Ghedin,E., Saif,L.",17023013,"",Sus scrofa,unknown,"","TGEV Purdue P115, complete genome",Alphacoronavirus 1,9823
DQ811789,62.0351904761905,Alphacoronavirus 1,Alphacoronavirus,Alphacoronavirus,28544,"Zhang,X., Hasoksuz,M., Spiro,D., Halpin,R., Wang,S., Stollar,S., Janies,D., Hadya,N., Tang,Y., Ghedin,E., Saif,L., Hostetler,J., Fedorova,N., Overton,L., Stockwell,T., Sitz,J., Katzel,D., Li,K., Axelrod,N., Safford,T., Amedeo,P., Schobel,S., Shrivastava,S., Resnick,A., Thovarai,V., Kim,M., Vlasova,A.",17023013,USA:Indiana,Sus scrofa,unknown,1952,"TGEV virulent Purdue, complete genome",Alphacoronavirus 1,9823
